,imagepaths,imagelabels
0,/home/data1/ygq/scene/datas/15scene/10/3167.jpg,10
1,/home/data1/ygq/scene/datas/15scene/11/3579.jpg,11
2,/home/data1/ygq/scene/datas/15scene/10/3200.jpg,10
3,/home/data1/ygq/scene/datas/15scene/00/74.jpg,00
4,/home/data1/ygq/scene/datas/15scene/09/2893.jpg,09
5,/home/data1/ygq/scene/datas/15scene/01/252.jpg,01
6,/home/data1/ygq/scene/datas/15scene/09/2800.jpg,09
7,/home/data1/ygq/scene/datas/15scene/03/837.jpg,03
8,/home/data1/ygq/scene/datas/15scene/14/4192.jpg,14
9,/home/data1/ygq/scene/datas/15scene/07/2165.jpg,07
10,/home/data1/ygq/scene/datas/15scene/11/3526.jpg,11
11,/home/data1/ygq/scene/datas/15scene/03/784.jpg,03
12,/home/data1/ygq/scene/datas/15scene/06/1718.jpg,06
13,/home/data1/ygq/scene/datas/15scene/03/790.jpg,03
14,/home/data1/ygq/scene/datas/15scene/14/4180.jpg,14
15,/home/data1/ygq/scene/datas/15scene/12/3881.jpg,12
16,/home/data1/ygq/scene/datas/15scene/00/163.jpg,00
17,/home/data1/ygq/scene/datas/15scene/12/3813.jpg,12
18,/home/data1/ygq/scene/datas/15scene/08/2266.jpg,08
19,/home/data1/ygq/scene/datas/15scene/05/1485.jpg,05
20,/home/data1/ygq/scene/datas/15scene/03/846.jpg,03
21,/home/data1/ygq/scene/datas/15scene/01/276.jpg,01
22,/home/data1/ygq/scene/datas/15scene/06/1696.jpg,06
23,/home/data1/ygq/scene/datas/15scene/01/319.jpg,01
24,/home/data1/ygq/scene/datas/15scene/10/3150.jpg,10
25,/home/data1/ygq/scene/datas/15scene/14/4302.jpg,14
26,/home/data1/ygq/scene/datas/15scene/08/2478.jpg,08
27,/home/data1/ygq/scene/datas/15scene/06/1703.jpg,06
28,/home/data1/ygq/scene/datas/15scene/02/495.jpg,02
29,/home/data1/ygq/scene/datas/15scene/04/1253.jpg,04
30,/home/data1/ygq/scene/datas/15scene/05/1552.jpg,05
31,/home/data1/ygq/scene/datas/15scene/00/183.jpg,00
32,/home/data1/ygq/scene/datas/15scene/10/3181.jpg,10
33,/home/data1/ygq/scene/datas/15scene/04/994.jpg,04
34,/home/data1/ygq/scene/datas/15scene/10/3095.jpg,10
35,/home/data1/ygq/scene/datas/15scene/07/2063.jpg,07
36,/home/data1/ygq/scene/datas/15scene/11/3536.jpg,11
37,/home/data1/ygq/scene/datas/15scene/10/3298.jpg,10
38,/home/data1/ygq/scene/datas/15scene/08/2393.jpg,08
39,/home/data1/ygq/scene/datas/15scene/09/2751.jpg,09
40,/home/data1/ygq/scene/datas/15scene/01/217.jpg,01
41,/home/data1/ygq/scene/datas/15scene/08/2457.jpg,08
42,/home/data1/ygq/scene/datas/15scene/07/2032.jpg,07
43,/home/data1/ygq/scene/datas/15scene/01/382.jpg,01
44,/home/data1/ygq/scene/datas/15scene/12/3670.jpg,12
45,/home/data1/ygq/scene/datas/15scene/02/525.jpg,02
46,/home/data1/ygq/scene/datas/15scene/14/4395.jpg,14
47,/home/data1/ygq/scene/datas/15scene/08/2384.jpg,08
48,/home/data1/ygq/scene/datas/15scene/12/3620.jpg,12
49,/home/data1/ygq/scene/datas/15scene/02/674.jpg,02
50,/home/data1/ygq/scene/datas/15scene/13/4020.jpg,13
51,/home/data1/ygq/scene/datas/15scene/10/3070.jpg,10
52,/home/data1/ygq/scene/datas/15scene/14/4413.jpg,14
53,/home/data1/ygq/scene/datas/15scene/05/1352.jpg,05
54,/home/data1/ygq/scene/datas/15scene/08/2252.jpg,08
55,/home/data1/ygq/scene/datas/15scene/01/271.jpg,01
56,/home/data1/ygq/scene/datas/15scene/13/4132.jpg,13
57,/home/data1/ygq/scene/datas/15scene/03/775.jpg,03
58,/home/data1/ygq/scene/datas/15scene/01/416.jpg,01
59,/home/data1/ygq/scene/datas/15scene/11/3424.jpg,11
60,/home/data1/ygq/scene/datas/15scene/03/949.jpg,03
61,/home/data1/ygq/scene/datas/15scene/02/750.jpg,02
62,/home/data1/ygq/scene/datas/15scene/10/3214.jpg,10
63,/home/data1/ygq/scene/datas/15scene/05/1562.jpg,05
64,/home/data1/ygq/scene/datas/15scene/06/1802.jpg,06
65,/home/data1/ygq/scene/datas/15scene/00/201.jpg,00
66,/home/data1/ygq/scene/datas/15scene/12/3628.jpg,12
67,/home/data1/ygq/scene/datas/15scene/02/700.jpg,02
68,/home/data1/ygq/scene/datas/15scene/09/2730.jpg,09
69,/home/data1/ygq/scene/datas/15scene/01/424.jpg,01
70,/home/data1/ygq/scene/datas/15scene/01/264.jpg,01
71,/home/data1/ygq/scene/datas/15scene/14/4185.jpg,14
72,/home/data1/ygq/scene/datas/15scene/10/3136.jpg,10
73,/home/data1/ygq/scene/datas/15scene/02/645.jpg,02
74,/home/data1/ygq/scene/datas/15scene/12/3937.jpg,12
75,/home/data1/ygq/scene/datas/15scene/08/2493.jpg,08
76,/home/data1/ygq/scene/datas/15scene/13/4135.jpg,13
77,/home/data1/ygq/scene/datas/15scene/02/764.jpg,02
78,/home/data1/ygq/scene/datas/15scene/01/342.jpg,01
79,/home/data1/ygq/scene/datas/15scene/10/3299.jpg,10
80,/home/data1/ygq/scene/datas/15scene/13/4054.jpg,13
81,/home/data1/ygq/scene/datas/15scene/07/2042.jpg,07
82,/home/data1/ygq/scene/datas/15scene/07/1991.jpg,07
83,/home/data1/ygq/scene/datas/15scene/09/2682.jpg,09
84,/home/data1/ygq/scene/datas/15scene/01/381.jpg,01
85,/home/data1/ygq/scene/datas/15scene/07/2158.jpg,07
86,/home/data1/ygq/scene/datas/15scene/14/4221.jpg,14
87,/home/data1/ygq/scene/datas/15scene/05/1435.jpg,05
88,/home/data1/ygq/scene/datas/15scene/06/1920.jpg,06
89,/home/data1/ygq/scene/datas/15scene/01/440.jpg,01
90,/home/data1/ygq/scene/datas/15scene/09/2549.jpg,09
91,/home/data1/ygq/scene/datas/15scene/11/3309.jpg,11
92,/home/data1/ygq/scene/datas/15scene/14/4292.jpg,14
93,/home/data1/ygq/scene/datas/15scene/03/939.jpg,03
94,/home/data1/ygq/scene/datas/15scene/03/803.jpg,03
95,/home/data1/ygq/scene/datas/15scene/06/1748.jpg,06
96,/home/data1/ygq/scene/datas/15scene/14/4242.jpg,14
97,/home/data1/ygq/scene/datas/15scene/09/2638.jpg,09
98,/home/data1/ygq/scene/datas/15scene/00/4.jpg,00
99,/home/data1/ygq/scene/datas/15scene/10/3280.jpg,10
100,/home/data1/ygq/scene/datas/15scene/07/2141.jpg,07
101,/home/data1/ygq/scene/datas/15scene/08/2498.jpg,08
102,/home/data1/ygq/scene/datas/15scene/10/3276.jpg,10
103,/home/data1/ygq/scene/datas/15scene/04/1209.jpg,04
104,/home/data1/ygq/scene/datas/15scene/10/3064.jpg,10
105,/home/data1/ygq/scene/datas/15scene/02/743.jpg,02
106,/home/data1/ygq/scene/datas/15scene/01/256.jpg,01
107,/home/data1/ygq/scene/datas/15scene/08/2222.jpg,08
108,/home/data1/ygq/scene/datas/15scene/12/3683.jpg,12
109,/home/data1/ygq/scene/datas/15scene/05/1600.jpg,05
110,/home/data1/ygq/scene/datas/15scene/12/3727.jpg,12
111,/home/data1/ygq/scene/datas/15scene/13/4161.jpg,13
112,/home/data1/ygq/scene/datas/15scene/02/517.jpg,02
113,/home/data1/ygq/scene/datas/15scene/05/1606.jpg,05
114,/home/data1/ygq/scene/datas/15scene/03/943.jpg,03
115,/home/data1/ygq/scene/datas/15scene/02/609.jpg,02
116,/home/data1/ygq/scene/datas/15scene/01/302.jpg,01
117,/home/data1/ygq/scene/datas/15scene/07/2139.jpg,07
118,/home/data1/ygq/scene/datas/15scene/09/2870.jpg,09
119,/home/data1/ygq/scene/datas/15scene/03/779.jpg,03
